date,cumulative_pnl
2026-03-09,17.1
2026-03-09,30.6
2026-03-09,49.5
2026-03-10,64.8
2026-03-10,81.9
2026-03-10,99.9
2026-03-11,89.1
2026-03-11,103.5
2026-03-11,113.4
2026-03-12,27.8
2026-03-12,44.0
2026-03-12,-44.3
2026-03-13,-29.9
2026-03-13,-11.9
2026-03-13,5.2
2026-03-16,22.3
2026-03-16,39.4
2026-03-16,57.4
2026-03-17,53.4
2026-03-17,70.5
2026-03-17,89.4
2026-03-18,4.7
2026-03-18,-77.3
2026-03-18,-59.3
2026-03-19,-44.0
2026-03-19,-79.1
2026-03-19,-62.0
2026-03-20,-146.7
2026-03-20,-129.6
2026-03-20,-215.2
2026-03-23,-298.1
2026-03-23,-279.2
2026-03-23,-262.1
2026-03-24,-245.0
2026-03-24,-330.6
2026-03-24,-411.7
2026-03-25,-396.4
2026-03-25,-378.4
2026-03-25,-362.2
2026-03-26,-345.1
2026-03-26,-428.9
2026-03-26,-509.1
2026-03-27,-592.9
2026-03-27,-576.7
2026-03-27,-621.7
2026-03-30,-602.8
2026-03-30,-684.8
2026-03-30,-765.9
2026-03-31,-747.0
2026-03-31,-729.9
2026-03-31,-711.0
2026-04-01,-691.2
2026-04-01,-673.2
2026-04-01,-657.9
2026-04-02,-641.7
2026-04-02,-623.7
2026-04-02,-607.5
2026-04-02,-587.7
2026-04-02,-569.7
2026-04-02,-550.8
2026-04-06,-535.5
2026-04-06,-518.4
2026-04-06,-500.4
2026-04-07,-486.0
2026-04-07,-466.2
2026-04-07,-448.2
2026-04-08,-433.8
2026-04-08,-521.2
2026-04-08,-505.0
2026-04-09,-491.5
2026-04-09,-471.7
2026-04-09,-486.6
2026-04-13,-466.8
2026-04-13,-449.7
2026-04-13,-430.8
2026-04-14,-417.3
2026-04-14,-399.3
2026-04-14,-481.3
2026-04-15,-469.6
2026-04-15,-456.1
2026-04-15,-437.2
2026-04-16,-521.9
2026-04-16,-504.8
2026-04-16,-588.6
2026-04-17,-571.5
2026-04-17,-553.5
2026-04-17,-536.4
2026-04-20,-620.2
2026-04-20,-607.6
2026-04-20,-691.4
2026-04-21,-672.5
2026-04-21,-657.2
2026-04-21,-637.4
2026-04-22,-622.1
2026-04-22,-623.2
2026-04-22,-606.1
2026-04-23,-589.9
2026-04-23,-575.5
2026-04-23,-575.5
2026-04-24,-555.7
2026-04-24,-539.5
2026-04-24,-523.3
2026-04-27,-508.9
2026-04-27,-499.0
2026-04-27,-581.0
2026-04-28,-567.5
2026-04-28,-557.6
