symbol,structure,regime,entry_date,expiry,entry_fill,settle_spot,realized_pnl,max_profit_per_spread,max_loss_per_spread
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-02,2026-03-09,-0.1710,259.43,17.1,25.48,74.53
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-02,2026-03-09,-0.1890,213.495,18.9,26.45,73.55
TSLA,BULL_PUT_SPREAD,CREDIT,2026-03-02,2026-03-09,-0.1350,398.63,13.5,25.53,74.48
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-03,2026-03-10,-0.1710,260.29,17.1,24.41,75.60
GOOGL,BULL_PUT_SPREAD,CREDIT,2026-03-03,2026-03-10,-0.1800,306.91,18.0,24.71,75.30
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-03,2026-03-10,-0.1530,606.18,15.3,25.76,74.24
META,BULL_PUT_SPREAD,CREDIT,2026-03-04,2026-03-11,-0.0990,653.56,9.9,26.38,73.62
MSFT,BULL_PUT_SPREAD,CREDIT,2026-03-04,2026-03-11,-0.1440,403.18,14.4,26.77,73.23
SPY,BULL_PUT_SPREAD,CREDIT,2026-03-04,2026-03-11,-0.1620,672.73,-10.8,25.42,74.58
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-05,2026-03-12,-0.1620,197.75,16.2,26.63,73.37
META,BULL_PUT_SPREAD,CREDIT,2026-03-05,2026-03-12,-0.1170,636.95,-88.3,26.41,73.59
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-05,2026-03-12,-0.1440,595.9,-85.6,24.50,75.50
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-06,2026-03-13,-0.1710,193.41,17.1,27.81,72.19
NVDA,BULL_PUT_SPREAD,CREDIT,2026-03-06,2026-03-13,-0.1800,180.0,18.0,26.30,73.71
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-06,2026-03-13,-0.1440,592.21,14.4,24.43,75.57
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-09,2026-03-16,-0.1710,252.37,17.1,24.52,75.48
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-09,2026-03-16,-0.1800,211.775,18.0,24.74,75.27
NVDA,BULL_PUT_SPREAD,CREDIT,2026-03-09,2026-03-16,-0.1710,182.96,17.1,24.20,75.80
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-10,2026-03-17,-0.1800,253.78,-4.0,25.97,74.04
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-10,2026-03-17,-0.1710,196.29,17.1,26.92,73.09
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-10,2026-03-17,-0.1890,215.345,18.9,25.33,74.67
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-11,2026-03-18,-0.1800,249.48,-82.0,25.36,74.64
GOOGL,BULL_PUT_SPREAD,CREDIT,2026-03-11,2026-03-18,-0.1800,307.59,18.0,25.02,74.98
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-11,2026-03-18,-0.1530,593.42,-84.7,25.19,74.81
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-12,2026-03-19,-0.1890,248.46,-35.1,26.70,73.30
GOOGL,BULL_PUT_SPREAD,CREDIT,2026-03-12,2026-03-19,-0.1710,306.88,17.1,24.36,75.64
SPY,BULL_PUT_SPREAD,CREDIT,2026-03-12,2026-03-19,-0.1530,656.35,15.3,23.74,76.26
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-13,2026-03-20,-0.1710,201.36,17.1,27.28,72.72
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-13,2026-03-20,-0.1530,580.71,-84.7,24.45,75.55
TSLA,BULL_PUT_SPREAD,CREDIT,2026-03-13,2026-03-20,-0.1440,368.025,-85.6,25.54,74.46
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-16,2026-03-23,-0.1890,251.01,18.9,26.40,73.61
GOOGL,BULL_PUT_SPREAD,CREDIT,2026-03-16,2026-03-23,-0.1710,301.95,17.1,24.32,75.68
SPY,BULL_PUT_SPREAD,CREDIT,2026-03-16,2026-03-23,-0.1710,653.69,-82.9,25.85,74.15
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-17,2026-03-24,-0.1710,205.41,17.1,27.88,72.12
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-17,2026-03-24,-0.1890,207.28,-81.1,25.06,74.94
TSLA,BULL_PUT_SPREAD,CREDIT,2026-03-17,2026-03-24,-0.1440,383.14,-85.6,25.86,74.14
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-18,2026-03-25,-0.1800,252.16,18.0,23.85,76.15
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-18,2026-03-25,-0.1620,220.28,16.2,26.84,73.17
QQQ,BULL_PUT_SPREAD,CREDIT,2026-03-18,2026-03-25,-0.1530,587.12,15.3,25.54,74.47
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-19,2026-03-26,-0.1710,252.42,17.1,23.47,76.53
MSFT,BULL_PUT_SPREAD,CREDIT,2026-03-19,2026-03-26,-0.1620,364.31,-83.8,25.73,74.28
NVDA,BULL_PUT_SPREAD,CREDIT,2026-03-19,2026-03-26,-0.1980,171.03,-80.2,26.84,73.17
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-20,2026-03-27,-0.1620,201.93,16.2,27.58,72.43
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-20,2026-03-27,-0.1800,199.37,-45.0,24.72,75.29
MSFT,BULL_PUT_SPREAD,CREDIT,2026-03-20,2026-03-27,-0.1620,355.41,-83.8,26.14,73.86
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-23,2026-03-30,-0.1890,246.28,18.9,24.69,75.31
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-23,2026-03-30,-0.1890,200.945,-81.1,25.52,74.49
NVDA,BULL_PUT_SPREAD,CREDIT,2026-03-23,2026-03-30,-0.1800,164.99,-82.0,24.69,75.31
AAPL,BULL_PUT_SPREAD,CREDIT,2026-03-24,2026-03-31,-0.1890,253.28,18.9,25.39,74.61
AMD,BULL_PUT_SPREAD,CREDIT,2026-03-24,2026-03-31,-0.1710,203.25,17.1,25.90,74.10
AMZN,BULL_PUT_SPREAD,CREDIT,2026-03-24,2026-03-31,-0.1890,208.39,18.9,24.96,75.05
